path,max_realization_loss,realized
00000000,0,True
00000001,0,True
00000010,0,True
00000011,0,True
00000100,0,True
00000101,0,True
00000110,0,True
00000111,0,True
00001000,0,True
00001001,0,True
00001010,0,True
00001011,0,True
00001100,0,True
00001101,0,True
00001110,0,True
00001111,0,True
00010000,0,True
00010001,0,True
00010010,0,True
00010011,0,True
00010100,0,True
00010101,0,True
00010110,0,True
00010111,0,True
00011000,0,True
00011001,0,True
00011010,0,True
00011011,0,True
00011100,0,True
00011101,0,True
00011110,0,True
00011111,0,True
00100000,0,True
00100001,0,True
00100010,0,True
00100011,0,True
00100100,0,True
00100101,0,True
00100110,0,True
00100111,0,True
00101000,0,True
00101001,0,True
00101010,0,True
00101011,0,True
00101100,0,True
00101101,0,True
00101110,0,True
00101111,0,True
00110000,0,True
00110001,0,True
00110010,0,True
00110011,0,True
00110100,0,True
00110101,0,True
00110110,0,True
00110111,0,True
00111000,0,True
00111001,0,True
00111010,0,True
00111011,0,True
00111100,0,True
00111101,0,True
00111110,0,True
00111111,0,True
01000000,0,True
01000001,0,True
01000010,0,True
01000011,0,True
01000100,0,True
01000101,0,True
01000110,0,True
01000111,0,True
01001000,0,True
01001001,0,True
01001010,0,True
01001011,0,True
01001100,0,True
01001101,0,True
01001110,0,True
01001111,0,True
01010000,0,True
01010001,0,True
01010010,0,True
01010011,0,True
01010100,0,True
01010101,0,True
01010110,0,True
01010111,0,True
01011000,0,True
01011001,0,True
01011010,0,True
01011011,0,True
01011100,0,True
01011101,0,True
01011110,0,True
01011111,0,True
01100000,0,True
01100001,0,True
01100010,0,True
01100011,0,True
01100100,0,True
01100101,0,True
01100110,0,True
01100111,0,True
01101000,0,True
01101001,0,True
01101010,0,True
01101011,0,True
01101100,0,True
01101101,0,True
01101110,0,True
01101111,0,True
01110000,0,True
01110001,0,True
01110010,0,True
01110011,0,True
01110100,0,True
01110101,0,True
01110110,0,True
01110111,0,True
01111000,0,True
01111001,0,True
01111010,0,True
01111011,0,True
01111100,0,True
01111101,0,True
01111110,0,True
01111111,0,True
10000000,0,True
10000001,0,True
10000010,0,True
10000011,0,True
10000100,0,True
10000101,0,True
10000110,0,True
10000111,0,True
10001000,0,True
10001001,0,True
10001010,0,True
10001011,0,True
10001100,0,True
10001101,0,True
10001110,0,True
10001111,0,True
10010000,0,True
10010001,0,True
10010010,0,True
10010011,0,True
10010100,0,True
10010101,0,True
10010110,0,True
10010111,0,True
10011000,0,True
10011001,0,True
10011010,0,True
10011011,0,True
10011100,0,True
10011101,0,True
10011110,0,True
10011111,0,True
10100000,0,True
10100001,0,True
10100010,0,True
10100011,0,True
10100100,0,True
10100101,0,True
10100110,0,True
10100111,0,True
10101000,0,True
10101001,0,True
10101010,0,True
10101011,0,True
10101100,0,True
10101101,0,True
10101110,0,True
10101111,0,True
10110000,0,True
10110001,0,True
10110010,0,True
10110011,0,True
10110100,0,True
10110101,0,True
10110110,0,True
10110111,0,True
10111000,0,True
10111001,0,True
10111010,0,True
10111011,0,True
10111100,0,True
10111101,0,True
10111110,0,True
10111111,0,True
11000000,0,True
11000001,0,True
11000010,0,True
11000011,0,True
11000100,0,True
11000101,0,True
11000110,0,True
11000111,0,True
11001000,0,True
11001001,0,True
11001010,0,True
11001011,0,True
11001100,0,True
11001101,0,True
11001110,0,True
11001111,0,True
11010000,0,True
11010001,0,True
11010010,0,True
11010011,0,True
11010100,0,True
11010101,0,True
11010110,0,True
11010111,0,True
11011000,0,True
11011001,0,True
11011010,0,True
11011011,0,True
11011100,0,True
11011101,0,True
11011110,0,True
11011111,0,True
11100000,0,True
11100001,0,True
11100010,0,True
11100011,0,True
11100100,0,True
11100101,0,True
11100110,0,True
11100111,0,True
11101000,0,True
11101001,0,True
11101010,0,True
11101011,0,True
11101100,0,True
11101101,0,True
11101110,0,True
11101111,0,True
11110000,0,True
11110001,0,True
11110010,0,True
11110011,0,True
11110100,0,True
11110101,0,True
11110110,0,True
11110111,0,True
11111000,0,True
11111001,0,True
11111010,0,True
11111011,0,True
11111100,0,True
11111101,0,True
11111110,0,True
11111111,0,True
